"","k_2","k_5","k_10"
"1",142750.107625465,78313.7984066665,190914.833790027
"2",130601.587894664,111383.705712456,74765.2695821695
"3",133077.189830944,144619.221022292,163291.453234684
"4",148624.458243654,133090.199763023,107979.420469324
"5",124734.576245171,94977.5996176751,124709.47991967
"6",134420.342259254,123056.488018825,118021.178541546
"7",118367.100912426,138777.604444596,143639.356203994
"8",124169.11402153,142956.531903427,136162.971648633
"9",105783.640479532,116505.001338615,121847.454416361
"10",115700.85236741,105887.448782836,116004.104261757
"11",127135.126858058,119301.422949695,126746.85422603
"12",126691.628401418,86723.4354860377,86934.8861010615
"13",143389.053885295,132634.81004235,108176.806928284
"14",111194.625194196,107788.884132188,160290.682878932
"15",123422.337522069,108712.637044729,65150.4577044056
"16",111568.688780529,94604.9976626973,189969.056180361
"17",110428.833957708,112495.422315341,141821.630463068
"18",137094.870272673,131444.167627383,212392.67130861
"19",117781.239743209,142225.237906808,76379.4214598639
"20",110494.643655383,107386.800773057,134207.908342498
"21",126254.853950616,135811.759757086,132656.454727135
"22",133895.708021386,134292.942753829,126649.243231287
"23",130556.399272303,104377.10409043,179670.43725362
"24",128380.638455576,127627.247804436,126098.505352988
"25",140211.982490864,95050.0970480187,87938.1809232931
"26",124067.267066568,92385.8453779228,156294.910395825
"27",122157.196660705,122798.656785648,91038.3385453458
"28",141578.688554032,118874.722032123,121802.057131156
"29",127486.64170156,126788.392961284,88702.2337445644
"30",117379.422225903,68387.447510028,86718.1355653683
